,Port,Country/ Region,Region,Location,Year,thousand TEUs
122,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,2010,"13,144"
123,Shenzhen,China,East Asia,Pearl River Delta,2010,"22,510"
124,Qingdao,China,East Asia,Yellow Sea,2010,"12,012"
125,Guangzhou,China,East Asia,Pearl River Delta,2010,"12,550"
126,Busan,South Korea,East Asia,Korean Strait,2010,"14,157"
127,Tianjin,China,East Asia,Yellow Sea,2010,"10,080"
128,Los Angeles / Long Beach,United States,North America,West Coast,2010,"14,095"
129,Hong Kong,Hong Kong,East Asia,Pearl River Delta,2010,"23,532"
130,Shanghai,China,East Asia,Yangtze Delta,2009,"25,002"
131,Singapore,Singapore,Southeast Asia,Singapore Strait,2009,"25,866"
132,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,2009,"10,502"
133,Shenzhen,China,East Asia,Pearl River Delta,2009,"18,250"
134,Qingdao,China,East Asia,Yellow Sea,2009,"10,260"
135,Guangzhou,China,East Asia,Pearl River Delta,2009,"11,190"
136,Busan,South Korea,East Asia,Korean Strait,2009,"11,954"
137,Tianjin,China,East Asia,Yellow Sea,2009,"8,700"
138,Los Angeles / Long Beach,United States,North America,West Coast,2009,"11,815"
139,Hong Kong,Hong Kong,East Asia,Pearl River Delta,2009,"20,983"
140,Shanghai,China,East Asia,Yangtze Delta,2008,"27,980"
141,Singapore,Singapore,Southeast Asia,Singapore Strait,2008,"29,918"
142,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,2008,"11,226"
143,Shenzhen,China,East Asia,Pearl River Delta,2008,"21,414"
144,Qingdao,China,East Asia,Yellow Sea,2008,"10,320"
145,Guangzhou,China,East Asia,Pearl River Delta,2008,"11,001"
146,Busan,South Korea,East Asia,Korean Strait,2008,"13,425"
147,Tianjin,China,East Asia,Yellow Sea,2008,"8,500"
148,Los Angeles / Long Beach,United States,North America,West Coast,2008,"14,200"
149,Hong Kong,Hong Kong,East Asia,Pearl River Delta,2008,"24,248"
150,Shanghai,China,East Asia,Yangtze Delta,2007,"26,150"
151,Singapore,Singapore,Southeast Asia,Singapore Strait,2007,"27,932"
152,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,2007,"9,349"
153,Shenzhen,China,East Asia,Pearl River Delta,2007,"21,099"
154,Qingdao,China,East Asia,Yellow Sea,2007,"9,462"
155,Guangzhou,China,East Asia,Pearl River Delta,2007,"9,200"
156,Busan,South Korea,East Asia,Korean Strait,2007,"13,270"
157,Tianjin,China,East Asia,Yellow Sea,2007,"7,103"
158,Los Angeles / Long Beach,United States,North America,West Coast,2007,"15,671"
159,Hong Kong,Hong Kong,East Asia,Pearl River Delta,2007,"23,881"
160,Shanghai,China,East Asia,Yangtze Delta,2006,"21,710"
161,Singapore,Singapore,Southeast Asia,Singapore Strait,2006,"24,792"
162,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,2006,"7,068"
163,Shenzhen,China,East Asia,Pearl River Delta,2006,"18,469"
164,Qingdao,China,East Asia,Yellow Sea,2006,"7,702"
165,Guangzhou,China,East Asia,Pearl River Delta,2006,"6,600"
166,Busan,South Korea,East Asia,Korean Strait,2006,"12,039"
167,Tianjin,China,East Asia,Yellow Sea,2006,"5,950"
168,Los Angeles / Long Beach,United States,North America,West Coast,2006,"15,759"
169,Hong Kong,Hong Kong,East Asia,Pearl River Delta,2006,"23,539"
170,Shanghai,China,East Asia,Yangtze Delta,2005,"18,084"
171,Singapore,Singapore,Southeast Asia,Singapore Strait,2005,"23,192"
172,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,2005,"5,208"
173,Shenzhen,China,East Asia,Pearl River Delta,2005,"16,197"
174,Qingdao,China,East Asia,Yellow Sea,2005,"6,307"
175,Guangzhou,China,East Asia,Pearl River Delta,2005,"4,685"
176,Busan,South Korea,East Asia,Korean Strait,2005,"11,843"
177,Tianjin,China,East Asia,Yellow Sea,2005,"4,801"
178,Los Angeles / Long Beach,United States,North America,West Coast,2005,"14,195"
179,Hong Kong,Hong Kong,East Asia,Pearl River Delta,2005,"22,427"
180,Shanghai,China,East Asia,Yangtze Delta,2004,"14,557"
181,Singapore,Singapore,Southeast Asia,Singapore Strait,2004,"21,329"
182,Ningbo-Zhoushan,China,East Asia,Yangtze Delta,2004,"4,006"
183,Shenzhen,China,East Asia,Pearl River Delta,2004,"13,615"
184,Qingdao,China,East Asia,Yellow Sea,2004,"5,140"
185,Guangzhou,China,East Asia,Pearl River Delta,2004,"3,308"
186,Busan,South Korea,East Asia,Korean Strait,2004,"11,430"
187,Tianjin,China,East Asia,Yellow Sea,2004,"3,814"
188,Los Angeles / Long Beach,United States,North America,West Coast,2004,"13,101"
189,Hong Kong,Hong Kong,East Asia,Pearl River Delta,2004,"21,984"
